,name,url,wins,losses,draws,height,weight,division,reach,stance,dob,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
563,Aleksander Emelianenko,http://www.fightmetric.com/fighter-details/f54200f1dfb9b5d4,17,4,0,"6' 6""",255 lbs.,Heavyweight,--,Orthodox,"Aug 02, 1981",2.75,41%,1.70,65%,2.32,72%,66%,0.9
564,Rob Emerson,http://www.fightmetric.com/fighter-details/dc0f07928009a127,11,10,0,"5' 9""",155 lbs.,Lightweight,"70""",Orthodox,"Jul 30, 1981",2.50,30%,2.83,64%,2.02,52%,65%,0.4
565,Ian Entwistle,http://www.fightmetric.com/fighter-details/d7adfcfdf7c6c1f8,9,2,0,"5' 5""",135 lbs.,Bantamweight,"64""",Orthodox,"Nov 19, 1986",0.22,9%,3.45,40%,0.00,0%,0%,19.4
566,Andy Enz,http://www.fightmetric.com/fighter-details/993d385f5a475375,8,2,0,"6' 3""",185 lbs.,Middleweight,"78""",Orthodox,"Aug 15, 1991",3.70,24%,5.00,59%,0.00,0%,58%,0.0
567,Won Jin,http://www.fightmetric.com/fighter-details/bc7cf284c1c2f16e,5,5,1,"5' 7""",160 lbs.,Welterweight,--,Orthodox,--,3.74,44%,3.58,46%,0.00,0%,50%,0.0
568,Josh Epps,http://www.fightmetric.com/fighter-details/984b0c4c6e773a1c,3,4,0,--,130 lbs.,Bantamweight,--,,"Aug 23, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
569,Tom Erikson,http://www.fightmetric.com/fighter-details/7b9a85e5ff31ef47,9,4,1,"6' 3""",280 lbs.,Super Heavyweight,--,Orthodox,--,0.94,47%,1.87,25%,4.68,60%,100%,6.2
570,Konstantin Erokhin,http://www.fightmetric.com/fighter-details/22061ff217907c78,9,1,0,"5' 11""",233 lbs.,Heavyweight,--,,"Jan 02, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
571,Nick Ertl,http://www.fightmetric.com/fighter-details/74061adb224be3cc,8,6,0,"5' 9""",155 lbs.,Lightweight,--,,--,2.13,69%,2.53,41%,3.00,50%,0%,0.0
572,Bobby Escalante,http://www.fightmetric.com/fighter-details/f7ede18b4ec4ec1f,3,3,0,--,130 lbs.,Bantamweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
573,Eric Esch,http://www.fightmetric.com/fighter-details/0e4daed84a8f39a6,14,10,1,"5' 11""",350 lbs.,Super Heavyweight,--,Orthodox,"Aug 03, 1968",3.07,71%,1.74,43%,0.00,0%,0%,2.0
574,Pro Escobedo,http://www.fightmetric.com/fighter-details/b36874652ed7715d,1,0,0,--,205 lbs.,Light Heavyweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
575,Cole Escovedo,http://www.fightmetric.com/fighter-details/5df17b3620145578,17,8,0,"5' 7""",135 lbs.,Bantamweight,"72""",Orthodox,"Aug 30, 1981",1.82,45%,4.85,45%,0.55,40%,10%,0.0
576,Efrain Escudero,http://www.fightmetric.com/fighter-details/83fd97284f4bb4a4,23,9,0,"5' 9""",155 lbs.,Lightweight,"70""",Orthodox,"Jan 15, 1986",2.39,37%,2.14,63%,1.17,50%,66%,1.0
577,Evan Esguerra,http://www.fightmetric.com/fighter-details/ed220e87bef0cc64,3,4,0,--,145 lbs.,Featherweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
578,Carla Esparza,http://www.fightmetric.com/fighter-details/d910665038efc639,11,2,0,"5' 1""",115 lbs.,Flyweight,"63""",,"Oct 10, 1987",3.67,46%,2.45,61%,6.56,71%,66%,1.3
579,Terry Etim,http://www.fightmetric.com/fighter-details/33011768c3c4dc9a,15,5,0,"6' 1""",155 lbs.,Lightweight,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4
580,Fred Ettish,http://www.fightmetric.com/fighter-details/8d5daf67983b65ba,1,1,0,"6' 0""",180 lbs.,Middleweight,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
581,Billy Evangelista,http://www.fightmetric.com/fighter-details/9766ed20b68c7c33,11,2,0,"5' 8""",155 lbs.,Lightweight,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.60,19%,61%,0.2
582,Doug Evans,http://www.fightmetric.com/fighter-details/d3de4a24f7eefac8,13,9,0,"5' 9""",155 lbs.,Lightweight,--,Orthodox,"Oct 10, 1980",1.79,35%,2.55,55%,3.19,83%,69%,0.6
583,Rashad Evans,http://www.fightmetric.com/fighter-details/ee779c43a8926d52,24,3,1,"5' 11""",205 lbs.,Light Heavyweight,"74""",Orthodox,"Sep 25, 1979",2.13,38%,2.19,64%,3.34,48%,66%,0.0
584,Ashlee Evans-Smith,http://www.fightmetric.com/fighter-details/fc6e681bf6658faf,3,1,0,"5' 8""",135 lbs.,Bantamweight,"67""",Orthodox,"Jul 09, 1987",2.21,68%,1.00,50%,3.01,50%,50%,0.0
585,Dan Evensen,http://www.fightmetric.com/fighter-details/dd8aec6de7035943,11,4,0,"6' 3""",250 lbs.,Heavyweight,--,Orthodox,"Jun 01, 1974",0.27,10%,3.86,38%,0.00,0%,0%,4.0
586,Tonya Evinger,http://www.fightmetric.com/fighter-details/b12a1d19ee383b7c,9,6,0,"5' 7""",135 lbs.,Bantamweight,--,Orthodox,"Jun 19, 1984",0.50,47%,1.12,37%,0.84,100%,16%,2.5
587,Jessica Eye,http://www.fightmetric.com/fighter-details/f72465a784c1b084,11,2,0,"5' 6""",135 lbs.,Bantamweight,"66""",Orthodox,"Jul 27, 1986",5.26,38%,4.60,60%,0.00,0%,33%,0.0
588,Edward Faaloloto,http://www.fightmetric.com/fighter-details/6224e8d0a34264eb,2,3,0,--,155 lbs.,Lightweight,"70""",,"Jul 15, 1984",2.28,32%,6.25,44%,1.01,25%,33%,0.0
589,Urijah Faber,http://www.fightmetric.com/fighter-details/78114b7199cef90c,32,7,0,"5' 6""",135 lbs.,Bantamweight,"67""",Orthodox,"May 14, 1979",2.67,42%,2.25,65%,1.71,34%,58%,1.1
590,Wagnney Fabiano,http://www.fightmetric.com/fighter-details/40389d39a92f5bfa,14,3,0,"5' 6""",145 lbs.,Featherweight,"69""",Southpaw,"Jul 14, 1975",1.19,38%,0.66,70%,3.44,64%,100%,0.4
591,Ron Faircloth,http://www.fightmetric.com/fighter-details/453ee00c3e1ae9dd,33,20,0,"5' 9""",205 lbs.,Light Heavyweight,--,Orthodox,"Aug 16, 1979",0.39,40%,8.90,42%,0.00,0%,0%,0.0
592,Jason Fairn,http://www.fightmetric.com/fighter-details/adea9f0090aa8e14,4,5,0,"6' 1""",230 lbs.,Heavyweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
593,Maiquel Falcao,http://www.fightmetric.com/fighter-details/d58478ded5534695,28,4,0,"5' 11""",185 lbs.,Middleweight,--,Orthodox,"Mar 08, 1981",1.67,55%,0.53,86%,1.00,100%,71%,3.0
594,Brodie Farber,http://www.fightmetric.com/fighter-details/91d73ee59347ac16,14,6,0,"6' 1""",170 lbs.,Welterweight,--,Orthodox,"Jul 05, 1980",1.69,45%,2.17,53%,0.90,50%,20%,0.9
595,Chance Farrar,http://www.fightmetric.com/fighter-details/49c7236c737d7e59,8,3,0,"5' 9""",145 lbs.,Featherweight,--,Southpaw,"Sep 11, 1975",0.81,22%,2.21,67%,3.02,100%,0%,0.0
596,Rodney Faverus,http://www.fightmetric.com/fighter-details/5af26b3201690d29,25,19,3,"6' 0""",215 lbs.,Heavyweight,--,Southpaw,--,2.30,53%,1.60,54%,4.50,100%,25%,0.0
597,Paul Felder,http://www.fightmetric.com/fighter-details/e5010b1b94ca5755,9,0,0,"5' 11""",155 lbs.,Lightweight,"70""",Orthodox,"Apr 25, 1984",3.40,60%,1.93,42%,1.00,100%,62%,0.0
598,JP Felty,http://www.fightmetric.com/fighter-details/954e3f4e2b0e6510,1,2,0,--,170 lbs.,Welterweight,--,,"Apr 28, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
599,Tony Ferguson,http://www.fightmetric.com/fighter-details/22a92d7f62195791,18,3,0,"5' 11""",155 lbs.,Lightweight,"76""",Orthodox,"Feb 12, 1984",3.53,32%,2.88,70%,1.08,62%,80%,1.1
600,Josh Ferguson,http://www.fightmetric.com/fighter-details/b0f316c60f8d3b47,7,5,0,"5' 5""",125 lbs.,Flyweight,"66""",Orthodox,"May 13, 1988",2.13,43%,4.18,32%,0.59,11%,54%,0.0
601,Kevin Ferguson,http://www.fightmetric.com/fighter-details/27541033b97c076d,4,2,0,"6' 2""",235 lbs.,Heavyweight,--,Orthodox,"Feb 08, 1974",2.31,49%,3.58,38%,3.31,72%,37%,1.2
602,Rhadi Ferguson,http://www.fightmetric.com/fighter-details/15f4550e017f6c7d,3,0,0,"5' 7""",205 lbs.,Light Heavyweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
603,CJ Fernandes,http://www.fightmetric.com/fighter-details/979f7edbb6980b0d,14,8,3,"6' 2""",170 lbs.,Welterweight,--,,"Nov 13, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
604,Bibiano Fernandes,http://www.fightmetric.com/fighter-details/cbc071cb20ea59c7,10,3,0,"5' 7""",139 lbs.,Featherweight,--,Orthodox,"Mar 30, 1980",2.91,40%,2.02,72%,3.97,53%,77%,0.6
605,Alexandre Ferreira,http://www.fightmetric.com/fighter-details/28ba5f27e473420c,18,6,0,"5' 7""",205 lbs.,Light Heavyweight,--,Orthodox,"Apr 25, 1979",2.57,60%,8.14,42%,0.00,0%,0%,0.0
606,Diego Ferreira,http://www.fightmetric.com/fighter-details/f53d4f21d1b5f2dc,11,1,0,"5' 9""",155 lbs.,Lightweight,"74""",Orthodox,"Jan 18, 1985",2.35,32%,2.31,59%,0.67,50%,50%,2.0
607,Cezar Ferreira,http://www.fightmetric.com/fighter-details/dbc17725b887860a,9,3,0,"6' 1""",185 lbs.,Middleweight,"78""",Southpaw,"Feb 15, 1985",1.79,35%,1.87,56%,1.62,62%,100%,0.3
608,Scott Ferrozzo,http://www.fightmetric.com/fighter-details/977081bc01197656,4,2,0,"5' 11""",323 lbs.,Super Heavyweight,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
609,Drew Fickett,http://www.fightmetric.com/fighter-details/d814f5192e58fb2f,41,16,0,"5' 10""",155 lbs.,Lightweight,"70""",Orthodox,"Dec 14, 1979",2.33,41%,2.29,57%,1.30,35%,30%,2.2
610,Scott Fiedler,http://www.fightmetric.com/fighter-details/0ec821423baa26bd,0,1,0,"6' 4""",235 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
611,Ron Fields,http://www.fightmetric.com/fighter-details/6e380a4d73ab4f0e,25,30,1,"6' 2""",200 lbs.,Light Heavyweight,--,Orthodox,"Nov 18, 1974",0.33,33%,2.64,11%,0.00,0%,0%,0.0
612,Edwin Figueroa,http://www.fightmetric.com/fighter-details/bbfca6d5c27d9cd8,9,4,0,"5' 7""",135 lbs.,Bantamweight,"69""",Orthodox,"Jul 31, 1984",2.57,39%,3.06,51%,0.20,100%,37%,0.6
613,Anthony Figueroa,http://www.fightmetric.com/fighter-details/daff32bc96d1eabf,5,6,1,"5' 4""",135 lbs.,Bantamweight,--,Orthodox,--,2.37,48%,3.77,49%,0.00,0%,58%,0.0
614,Paulo Filho,http://www.fightmetric.com/fighter-details/2abdead94ce73552,22,4,2,"5' 8""",185 lbs.,Middleweight,--,Southpaw,"May 24, 1978",1.86,48%,1.67,66%,2.40,32%,42%,1.7
615,Andre Fili,http://www.fightmetric.com/fighter-details/8fd808923cffff82,14,2,0,"5' 11""",145 lbs.,Featherweight,"74""",Orthodox,"Jun 25, 1990",4.08,40%,2.87,61%,3.91,42%,42%,0.4
616,Mirko Filipovic,http://www.fightmetric.com/fighter-details/c32fb8c0f6471a4d,27,10,2,"6' 2""",230 lbs.,Heavyweight,"73""",Southpaw,"Sep 10, 1974",2.13,51%,1.92,63%,0.19,44%,78%,0.3
617,Brady Fink,http://www.fightmetric.com/fighter-details/997b4f52f76a0b53,2,3,0,"6' 0""",183 lbs.,Middleweight,--,Orthodox,--,1.69,41%,1.69,61%,3.63,25%,0%,3.6
618,Jan Finney,http://www.fightmetric.com/fighter-details/3317823959d32a05,8,10,0,"5' 8""",135 lbs.,Bantamweight,--,Orthodox,--,2.16,28%,8.75,42%,0.77,11%,25%,0.0
619,Jesse Finney,http://www.fightmetric.com/fighter-details/0496cdac0bc9edd8,6,1,0,"6' 0""",170 lbs.,Welterweight,--,,"Jul 11, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
620,Luigi Fioravanti,http://www.fightmetric.com/fighter-details/9583662df31d943f,22,11,0,"5' 8""",170 lbs.,Welterweight,"70""",Orthodox,"Jan 22, 1981",2.23,42%,2.21,69%,3.76,63%,67%,0.9
621,Luiz Firmino,http://www.fightmetric.com/fighter-details/16d09e800ad7ec79,13,6,0,"5' 6""",154 lbs.,Lightweight,--,Orthodox,"Mar 18, 1982",1.23,50%,1.22,51%,3.86,45%,20%,0.9
622,Spencer Fisher,http://www.fightmetric.com/fighter-details/f34312c2ccfa0e00,25,9,0,"5' 7""",155 lbs.,Lightweight,"70""",Southpaw,"May 09, 1976",3.17,43%,3.03,64%,0.67,30%,60%,0.7
623,Jon Fitch,http://www.fightmetric.com/fighter-details/6f018c039b4d5d80,27,5,1,"6' 0""",170 lbs.,Welterweight,"76""",Orthodox,"Feb 24, 1978",2.61,50%,1.65,54%,3.60,51%,56%,0.8
624,Colin Fletcher,http://www.fightmetric.com/fighter-details/7d09200f6a77b20e,9,3,0,"6' 2""",155 lbs.,Lightweight,"78""",Orthodox,"Jan 08, 1983",3.10,34%,2.97,62%,0.00,0%,27%,0.0
625,Kenny Florian,http://www.fightmetric.com/fighter-details/cb139171ed1b69fe,14,6,0,"5' 10""",145 lbs.,Featherweight,"74""",Southpaw,"May 26, 1976",2.41,40%,1.85,63%,2.22,33%,60%,1.3
626,Cody Floyd,http://www.fightmetric.com/fighter-details/8164250600b7c91b,2,0,0,--,--,,--,,"Jul 18, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
627,Caros Fodor,http://www.fightmetric.com/fighter-details/01d2ed8c502e3828,7,3,0,"5' 9""",155 lbs.,Lightweight,"76""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.10,25%,50%,0.0
628,Matt Foki,http://www.fightmetric.com/fighter-details/5de61b03868035ff,5,4,0,"5' 7""",220 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,3.37,56%,0.00,0%,0%,0.0
629,Mal Foki,http://www.fightmetric.com/fighter-details/fa534853eb195270,5,5,0,"5' 7""",220 lbs.,Heavyweight,--,Orthodox,--,2.86,14%,14.29,54%,0.00,0%,0%,0.0
630,AJ Fonseca,http://www.fightmetric.com/fighter-details/0adf1aacda5e26ac,5,4,0,"5' 4""",145 lbs.,Featherweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
631,Rob Font,http://www.fightmetric.com/fighter-details/05339613bf8e9808,11,1,0,"5' 8""",135 lbs.,Bantamweight,"71""",Orthodox,"Jun 25, 1987",5.18,52%,4.32,72%,0.00,0%,0%,0.0
632,Claudionor Fontinelle,http://www.fightmetric.com/fighter-details/7a82635ffa9b59fe,9,13,1,"5' 5""",185 lbs.,Middleweight,--,Orthodox,--,2.62,42%,10.25,28%,0.00,0%,0%,0.0
633,Jesse Forbes,http://www.fightmetric.com/fighter-details/947eccadb72f4f6f,15,5,0,"6' 2""",185 lbs.,Middleweight,"75""",Southpaw,"Oct 24, 1984",2.11,24%,4.06,53%,1.79,75%,66%,1.2
634,Sterling Ford,http://www.fightmetric.com/fighter-details/a71ce6ff0b4a9dbb,13,5,0,"5' 10""",155 lbs.,Lightweight,--,,"Mar 12, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
635,Renee Forte,http://www.fightmetric.com/fighter-details/44bc27bfa76dcd9e,8,4,0,"5' 7""",155 lbs.,Lightweight,"71""",Orthodox,"Mar 27, 1987",2.08,32%,2.12,63%,2.32,58%,66%,0.0
636,Brian Foster,http://www.fightmetric.com/fighter-details/3dc3022232b79c7a,18,5,0,"5' 9""",170 lbs.,Welterweight,"71""",Orthodox,"Apr 03, 1984",3.30,39%,1.63,65%,3.67,60%,37%,1.8
637,Xavier Foupa-Pokam,http://www.fightmetric.com/fighter-details/ec33146e43e58933,21,16,0,"6' 1""",185 lbs.,Middleweight,--,Open Stance,"Jul 03, 1982",1.47,43%,2.50,49%,0.00,0%,16%,0.0
638,Brandon Foxworth,http://www.fightmetric.com/fighter-details/f65a0eb902f9476b,18,4,0,"5' 11""",145 lbs.,Featherweight,--,Orthodox,"Apr 28, 1979",1.33,32%,4.59,50%,0.00,0%,0%,0.0
639,Hermes Franca,http://www.fightmetric.com/fighter-details/e0ec3c3b6b611f7e,22,12,0,"5' 6""",155 lbs.,Lightweight,"71""",Orthodox,"Aug 26, 1974",1.78,39%,2.85,55%,1.53,36%,37%,2.4
640,Francisco France,http://www.fightmetric.com/fighter-details/ecfdbf38681a59ba,7,3,0,"6' 0""",205 lbs.,Light Heavyweight,--,,"Jan 21, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
641,John Franchi,http://www.fightmetric.com/fighter-details/b9532d815060de7f,6,2,0,"5' 6""",145 lbs.,Featherweight,"67""",Orthodox,"Jul 16, 1982",1.83,48%,2.59,48%,2.68,80%,40%,0.3
642,Rich Franklin,http://www.fightmetric.com/fighter-details/d897897060f10a3a,29,7,0,"6' 1""",185 lbs.,Middleweight,"75""",Southpaw,"Oct 05, 1974",4.10,44%,2.07,62%,1.31,66%,63%,0.7
643,Zoila Frausto,http://www.fightmetric.com/fighter-details/040d3b4c735541aa,11,1,0,"5' 4""",135 lbs.,Bantamweight,--,Orthodox,--,0.77,31%,1.64,53%,0.00,0%,57%,0.0
644,Zane Frazier,http://www.fightmetric.com/fighter-details/d3711d3784b76255,4,11,0,"6' 5""",250 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
645,Gary Frazier,http://www.fightmetric.com/fighter-details/3beeeafcbc8b4cbc,1,2,0,"6' 0""",245 lbs.,Heavyweight,--,Orthodox,--,1.50,39%,2.77,46%,0.00,0%,100%,0.0
646,Jason Freeman,http://www.fightmetric.com/fighter-details/5870bd1eadf4f322,6,4,0,"6' 2""",225 lbs.,Heavyweight,--,,"Sep 02, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
647,Ian Freeman,http://www.fightmetric.com/fighter-details/b4bc2e3353a770b5,19,7,1,"5' 11""",225 lbs.,Heavyweight,--,Orthodox,"Nov 10, 1966",2.54,48%,3.11,44%,1.44,40%,80%,0.7
648,Willamy Freire,http://www.fightmetric.com/fighter-details/f1f37d667bcd0d27,19,5,0,"5' 8""",155 lbs.,Lightweight,--,,"Jul 28, 1987",1.53,37%,0.93,62%,0.50,100%,73%,0.0
649,Rafael Freitas,http://www.fightmetric.com/fighter-details/14b9e0f2679a2205,4,6,0,--,205 lbs.,Light Heavyweight,--,Orthodox,--,2.00,29%,8.00,51%,11.25,50%,0%,0.0
650,Mike French,http://www.fightmetric.com/fighter-details/756f45905fb20cb5,8,9,0,"5' 10""",145 lbs.,Featherweight,--,,"May 29, 1975",0.23,23%,2.17,42%,0.00,0%,22%,1.0
651,Clay French,http://www.fightmetric.com/fighter-details/73321668ff977f1b,19,6,0,"5' 7""",161 lbs.,Welterweight,--,Southpaw,"Oct 07, 1980",1.52,50%,1.27,16%,0.00,0%,100%,0.0
652,Don Frye,http://www.fightmetric.com/fighter-details/271fe91f4ba9d2c5,20,9,1,"6' 1""",219 lbs.,Heavyweight,--,Orthodox,"Nov 23, 1965",2.87,64%,3.57,37%,0.91,57%,45%,0.7
653,Tony Fryklund,http://www.fightmetric.com/fighter-details/253de74457bd6374,14,9,1,"6' 0""",185 lbs.,Middleweight,--,Orthodox,"Mar 26, 1971",3.49,39%,6.50,43%,0.00,0%,66%,0.5
654,Jesse Fujarczyk,http://www.fightmetric.com/fighter-details/c3c38c86f5ab9b5c,3,2,0,"6' 4""",225 lbs.,Heavyweight,--,Southpaw,"Jan 28, 1983",1.03,33%,4.91,38%,0.00,0%,25%,0.0
655,Megumi Fujii,http://www.fightmetric.com/fighter-details/fb6c531726447ff3,26,3,0,"5' 3""",113 lbs.,Strawweight,--,,"Apr 26, 1974",2.40,42%,0.00,100%,0.00,0%,0%,12.0
656,Katsuhisa Fujii,http://www.fightmetric.com/fighter-details/d71d968dc6ecfdaf,9,18,1,"6' 0""",205 lbs.,Light Heavyweight,--,Orthodox,"Aug 15, 1972",4.00,50%,4.43,64%,2.14,25%,50%,2.1
657,Kazuyuki Fujita,http://www.fightmetric.com/fighter-details/b1605ea39fba6af6,15,9,0,"6' 0""",235 lbs.,Heavyweight,--,Orthodox,"Oct 16, 1970",1.05,49%,1.99,52%,2.78,36%,85%,0.6
658,Keisuke Fujiwara,http://www.fightmetric.com/fighter-details/ccd58ff71e260ed5,11,4,4,"5' 6""",139 lbs.,Featherweight,--,Switch,--,0.73,44%,1.20,47%,0.00,0%,23%,2.5
659,Riki Fukuda,http://www.fightmetric.com/fighter-details/7c35f869033901ae,19,7,0,"6' 0""",185 lbs.,Middleweight,"73""",Southpaw,"Jan 06, 1981",4.24,43%,3.71,64%,2.17,43%,70%,0.0
660,Sam Fulton,http://www.fightmetric.com/fighter-details/1f5f75658551f2d3,0,2,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
661,Travis Fulton,http://www.fightmetric.com/fighter-details/911fb265462f0d94,127,49,10,"6' 0""",240 lbs.,Heavyweight,--,Orthodox,"May 29, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
662,Masakatsu Funaki,http://www.fightmetric.com/fighter-details/aa3153a9941b4d44,39,13,1,"6' 0""",185 lbs.,Middleweight,--,Southpaw,"Mar 13, 1969",1.82,68%,2.92,35%,0.00,0%,0%,5.5
663,Ricardo Funch,http://www.fightmetric.com/fighter-details/e9e1acc96536bb4f,8,4,0,"5' 10""",170 lbs.,Welterweight,"76""",Southpaw,"Aug 14, 1980",2.61,65%,3.57,40%,1.24,18%,60%,0.0
664,Katsuaki Furuki,http://www.fightmetric.com/fighter-details/c3e2eca94b2320bc,1,1,0,"6' 0""",168 lbs.,Welterweight,--,,"Nov 10, 1980",0.27,10%,2.67,39%,0.00,0%,0%,3.0
665,James Gabert,http://www.fightmetric.com/fighter-details/fcd8b623892b9a10,6,4,0,--,178 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
666,Claudia Gadelha,http://www.fightmetric.com/fighter-details/ec34349e7dffcde7,12,1,0,"5' 4""",115 lbs.,Flyweight,"63""",Orthodox,"Dec 07, 1988",3.23,41%,2.23,74%,6.00,54%,0%,1.5
667,Alavutdin Gadjiev,http://www.fightmetric.com/fighter-details/a7a79b8efbceaaac,18,12,1,"6' 2""",185 lbs.,Middleweight,--,Orthodox,"Jun 23, 1982",0.99,27%,0.99,57%,0.00,0%,50%,0.0
668,Sheila Gaff,http://www.fightmetric.com/fighter-details/837d30395faca41e,10,6,1,"5' 5""",135 lbs.,Bantamweight,"62""",Orthodox,"Dec 29, 1989",1.60,50%,2.89,28%,0.00,0%,20%,0.0
669,Mitch Gagnon,http://www.fightmetric.com/fighter-details/b8592b4a383696cd,12,2,0,"5' 5""",135 lbs.,Bantamweight,"65""",Southpaw,"Oct 10, 1984",3.27,44%,1.32,73%,2.21,41%,85%,3.5
670,Brandon Gaines,http://www.fightmetric.com/fighter-details/8e6cfbd455f0f9c2,5,16,0,"6' 3""",185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
671,Travis Galbraith,http://www.fightmetric.com/fighter-details/06dc1a58663579d2,18,7,0,"6' 0""",170 lbs.,Welterweight,--,Orthodox,"May 18, 1981",2.21,40%,3.45,48%,1.33,25%,0%,1.3
672,Dave Galera,http://www.fightmetric.com/fighter-details/0876d21328cf4a45,5,1,0,"5' 11""",135 lbs.,Bantamweight,--,Orthodox,"Jan 12, 1978",1.67,69%,0.53,33%,0.00,0%,14%,2.0
673,Zelg Galesic,http://www.fightmetric.com/fighter-details/8a1b4330c7957961,10,6,0,"6' 2""",185 lbs.,Middleweight,--,Orthodox,"Feb 16, 1979",4.86,62%,0.61,66%,1.30,100%,20%,1.3
674,Turrell Galloway,http://www.fightmetric.com/fighter-details/7e654edcddd71550,5,2,0,"5' 3""",145 lbs.,Featherweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
675,Eric Galvan,http://www.fightmetric.com/fighter-details/ad3fdba28a7540cf,0,0,0,--,155 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
676,Marcos Galvao,http://www.fightmetric.com/fighter-details/e15d0a2519d6a0b5,10,5,1,"5' 7""",135 lbs.,Bantamweight,--,Orthodox,"Jun 23, 1981",1.75,27%,3.76,72%,2.01,16%,0%,0.0
677,Andre Galvao,http://www.fightmetric.com/fighter-details/45fe6765c56d8018,5,2,0,"5' 7""",168 lbs.,Welterweight,--,Orthodox,"Sep 29, 1982",2.34,52%,1.56,58%,2.02,27%,0%,2.8
678,Lucas Gamaza,http://www.fightmetric.com/fighter-details/289a3b69b85da7cd,5,2,0,--,170 lbs.,Welterweight,--,,--,7.57,31%,6.99,45%,0.00,0%,0%,0.0
679,Joey Gambino,http://www.fightmetric.com/fighter-details/10559c53de0b950e,9,2,0,"5' 7""",145 lbs.,Featherweight,--,Orthodox,"Oct 26, 1988",2.47,35%,2.53,51%,0.00,0%,42%,0.8
680,Manvel Gamburyan,http://www.fightmetric.com/fighter-details/cc6f9d1e89f3449a,17,9,0,"5' 5""",135 lbs.,Bantamweight,"67""",Orthodox,"May 08, 1981",2.07,41%,2.73,56%,3.23,34%,70%,0.6
681,Ariel Gandulla,http://www.fightmetric.com/fighter-details/41904fc4d3f5bffc,6,6,0,"5' 11""",205 lbs.,Light Heavyweight,--,Orthodox,"May 07, 1968",1.95,23%,2.07,72%,1.88,66%,0%,0.0
682,Sean Gannon,http://www.fightmetric.com/fighter-details/6d7886b094b471ac,2,1,0,"6' 3""",265 lbs.,Heavyweight,--,Southpaw,--,0.00,0%,6.38,28%,0.00,0%,50%,0.0
683,Cody Garbrandt,http://www.fightmetric.com/fighter-details/d8c7c61b176e3994,5,0,0,"5' 7""",135 lbs.,Bantamweight,--,,"Jul 07, 1991",0.00,0%,0.00,0%,0.00,0%,0%,0.0
684,Edgar Garcia,http://www.fightmetric.com/fighter-details/8d49545dadf9b919,14,4,0,"5' 10""",170 lbs.,Welterweight,"71""",Orthodox,"Feb 22, 1984",3.54,29%,3.42,61%,2.50,57%,100%,0.6
685,Alejandro Garcia,http://www.fightmetric.com/fighter-details/e5dc36e0aba7e9da,14,5,0,"5' 7""",145 lbs.,Featherweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
686,Leonard Garcia,http://www.fightmetric.com/fighter-details/917e53fa0adea0d3,19,11,1,"5' 10""",145 lbs.,Featherweight,"69""",Orthodox,"Jul 14, 1979",2.77,24%,4.79,52%,0.30,26%,42%,0.5
687,Alex Garcia,http://www.fightmetric.com/fighter-details/a2b12c3f3d60ff69,12,2,0,"5' 9""",170 lbs.,Welterweight,"72""",Orthodox,"Jul 14, 1987",2.44,39%,3.19,59%,5.37,61%,57%,0.0
